theta,a2,b2,z2,E2,machine_type,status,file_name
10,-1.5,4.3,0.0,-2.1576862323709065,2,Done,C5_theta=10_a2=-1.5_b2=4.3_z2=0.0_2.log
15,-1.8,4.1,0.0,-2.132991831371328,2,Done,C5_theta=15_a2=-1.8_b2=4.1_z2=0.0_2.log
15,-1.8,4.2,0.0,-2.159896950091934,1,Done,C5_theta=15_a2=-1.8_b2=4.2_z2=0.0_2.log
15,-1.8,4.3,0.0,-2.113656993256882,1,Done,C5_theta=15_a2=-1.8_b2=4.3_z2=0.0_2.log
15,-1.7,4.3,0.0,-2.139415651239688,2,Done,C5_theta=15_a2=-1.7_b2=4.3_z2=0.0_2.log
15,-1.6,4.3,0.0,-2.156946398099535,2,Done,C5_theta=15_a2=-1.6_b2=4.3_z2=0.0_2.log
30,-2.1,3.6,0.0,-1.128729219912202,1,Done,C5_theta=30_a2=-2.1_b2=3.6_z2=0.0_2.log
30,-2.2,3.5,0.0,-0.8624660592759028,1,Done,C5_theta=30_a2=-2.2_b2=3.5_z2=0.0_2.log
30,-2.2,3.6,0.0,-1.4542167743784375,1,Done,C5_theta=30_a2=-2.2_b2=3.6_z2=0.0_2.log
30,-2.2,3.7,0.0,-1.8341100733960047,2,Done,C5_theta=30_a2=-2.2_b2=3.7_z2=0.0_2.log
30,-2.1,3.5,0.0,-0.3668843891791766,2,Done,C5_theta=30_a2=-2.1_b2=3.5_z2=0.0_2.log
30,-2.1,3.7,0.0,-1.6348618431948123,2,Done,C5_theta=30_a2=-2.1_b2=3.7_z2=0.0_2.log
30,-2.0,3.5,0.0,0.2312424550909781,1,Done,C5_theta=30_a2=-2.0_b2=3.5_z2=0.0_2.log
30,-2.0,3.6,0.0,-0.7267795719671994,1,Done,C5_theta=30_a2=-2.0_b2=3.6_z2=0.0_2.log
30,-2.0,3.7,0.0,-1.3785980543179903,2,Done,C5_theta=30_a2=-2.0_b2=3.7_z2=0.0_2.log
35,2.2,3.4,0.0,-3.2473592299065785,1,Done,C5_theta=35_a2=2.2_b2=3.4_z2=0.0_2.log
35,2.1,3.3,0.0,-2.946522778293001,1,Done,C5_theta=35_a2=2.1_b2=3.3_z2=0.0_2.log
35,2.1,3.4,0.0,-3.110053139302181,2,Done,C5_theta=35_a2=2.1_b2=3.4_z2=0.0_2.log
35,2.1,3.5,0.0,-3.1475110937317368,2,Done,C5_theta=35_a2=2.1_b2=3.5_z2=0.0_2.log
35,2.2,3.3,0.0,-3.1853951274679275,2,Done,C5_theta=35_a2=2.2_b2=3.3_z2=0.0_2.log
35,2.2,3.5,0.0,-3.2099389260838507,1,Done,C5_theta=35_a2=2.2_b2=3.5_z2=0.0_2.log
35,2.3,3.3,0.0,-3.305267107716645,1,Done,C5_theta=35_a2=2.3_b2=3.3_z2=0.0_2.log
35,2.3,3.4,0.0,-3.2898993878479814,2,Done,C5_theta=35_a2=2.3_b2=3.4_z2=0.0_2.log
35,2.3,3.5,0.0,-3.1977959801006364,1,Done,C5_theta=35_a2=2.3_b2=3.5_z2=0.0_2.log
0,1.6,4.2,0.0,-1.847329199052183,2,Done,C5_theta=0_a2=1.6_b2=4.2_z2=0.0_2.log
0,1.6,4.3,0.0,-1.9810773079516368,1,Done,C5_theta=0_a2=1.6_b2=4.3_z2=0.0_2.log
0,1.6,4.4,0.0,-2.0107026825717185,1,Done,C5_theta=0_a2=1.6_b2=4.4_z2=0.0_2.log
40,2.2,3.4,0.0,-3.3418609809159534,2,Done,C5_theta=40_a2=2.2_b2=3.4_z2=0.0_2.log
40,2.1,3.3,0.0,-3.1485891558841104,2,Done,C5_theta=40_a2=2.1_b2=3.3_z2=0.0_2.log
40,2.1,3.4,0.0,-3.313931138298358,2,Done,C5_theta=40_a2=2.1_b2=3.4_z2=0.0_2.log
40,2.1,3.5,0.0,-3.3324031501688296,1,Done,C5_theta=40_a2=2.1_b2=3.5_z2=0.0_2.log
40,2.2,3.3,0.0,-3.2688376421720022,1,Done,C5_theta=40_a2=2.2_b2=3.3_z2=0.0_2.log
40,2.2,3.5,0.0,-3.298875290856813,2,Done,C5_theta=40_a2=2.2_b2=3.5_z2=0.0_2.log
40,2.3,3.3,0.0,-3.310136585321743,1,Done,C5_theta=40_a2=2.3_b2=3.3_z2=0.0_2.log
40,2.3,3.4,0.0,-3.30967599300493,2,Done,C5_theta=40_a2=2.3_b2=3.4_z2=0.0_2.log
40,2.3,3.5,0.0,-3.219475195524865,2,Done,C5_theta=40_a2=2.3_b2=3.5_z2=0.0_2.log
10,-1.8,4.1,0.0,-2.066628883811063,2,Done,C5_theta=10_a2=-1.8_b2=4.1_z2=0.0_2.log
10,-1.8,4.2,0.0,-2.128110431076493,2,Done,C5_theta=10_a2=-1.8_b2=4.2_z2=0.0_2.log
10,-1.8,4.3,0.0,-2.1058934394823154,2,Done,C5_theta=10_a2=-1.8_b2=4.3_z2=0.0_2.log
45,-2.4,3.4,0.0,-0.9752302337728906,2,Done,C5_theta=45_a2=-2.4_b2=3.4_z2=0.0_2.log
45,-2.5,3.3,0.0,-0.8549139764072606,2,Done,C5_theta=45_a2=-2.5_b2=3.3_z2=0.0_2.log
45,-2.5,3.4,0.0,-1.394152772219968,1,Done,C5_theta=45_a2=-2.5_b2=3.4_z2=0.0_2.log
45,-2.5,3.5,0.0,-1.755840751080541,2,Done,C5_theta=45_a2=-2.5_b2=3.5_z2=0.0_2.log
45,-2.4,3.3,0.0,-0.2580201893142657,1,Done,C5_theta=45_a2=-2.4_b2=3.3_z2=0.0_2.log
45,-2.4,3.5,0.0,-1.4741559046378825,2,Done,C5_theta=45_a2=-2.4_b2=3.5_z2=0.0_2.log
45,-2.3,3.3,0.0,0.4953469813626725,2,Done,C5_theta=45_a2=-2.3_b2=3.3_z2=0.0_2.log
45,-2.3,3.4,0.0,-0.4316396561189322,2,Done,C5_theta=45_a2=-2.3_b2=3.4_z2=0.0_2.log
45,-2.3,3.5,0.0,-1.0935459892643848,1,Done,C5_theta=45_a2=-2.3_b2=3.5_z2=0.0_2.log
30,-2.3,3.6,0.0,-1.7082328224059893,2,Done,C5_theta=30_a2=-2.3_b2=3.6_z2=0.0_2.log
30,-2.3,3.7,0.0,-1.9811971623566933,2,Done,C5_theta=30_a2=-2.3_b2=3.7_z2=0.0_2.log
30,-2.3,3.8,0.0,-2.123183850038913,2,Done,C5_theta=30_a2=-2.3_b2=3.8_z2=0.0_2.log
30,-2.2,3.8,0.0,-2.0526153304817853,1,Done,C5_theta=30_a2=-2.2_b2=3.8_z2=0.0_2.log
30,-2.1,3.8,0.0,-1.9447708343650447,1,Done,C5_theta=30_a2=-2.1_b2=3.8_z2=0.0_2.log
35,2.0,3.4,0.0,-2.85207687568618,1,Done,C5_theta=35_a2=2.0_b2=3.4_z2=0.0_2.log
35,2.0,3.5,0.0,-2.988439191263751,1,Done,C5_theta=35_a2=2.0_b2=3.5_z2=0.0_2.log
35,2.0,3.6,0.0,-3.0133482007222483,1,Done,C5_theta=35_a2=2.0_b2=3.6_z2=0.0_2.log
35,2.1,3.6,0.0,-3.09776837604295,2,Done,C5_theta=35_a2=2.1_b2=3.6_z2=0.0_2.log
35,2.2,3.6,0.0,-3.1062855692580342,2,Done,C5_theta=35_a2=2.2_b2=3.6_z2=0.0_2.log
0,1.7,4.2,0.0,-1.8571622807357928,2,Done,C5_theta=0_a2=1.7_b2=4.2_z2=0.0_2.log
0,1.7,4.3,0.0,-1.9653895579394884,1,Done,C5_theta=0_a2=1.7_b2=4.3_z2=0.0_2.log
0,1.7,4.4,0.0,-1.9789519315963844,1,Done,C5_theta=0_a2=1.7_b2=4.4_z2=0.0_2.log
40,2.0,3.4,0.0,-3.209618895998574,2,Done,C5_theta=40_a2=2.0_b2=3.4_z2=0.0_2.log
40,2.0,3.5,0.0,-3.3070617863413645,2,Done,C5_theta=40_a2=2.0_b2=3.5_z2=0.0_2.log
40,2.0,3.6,0.0,-3.2819720540428534,2,Done,C5_theta=40_a2=2.0_b2=3.6_z2=0.0_2.log
40,2.1,3.6,0.0,-3.2536807656579185,2,Done,C5_theta=40_a2=2.1_b2=3.6_z2=0.0_2.log
40,2.2,3.6,0.0,-3.179721182023058,2,Done,C5_theta=40_a2=2.2_b2=3.6_z2=0.0_2.log
50,2.3,3.5,0.0,-3.023581006302265,1,Done,C5_theta=50_a2=2.3_b2=3.5_z2=0.0_2.log
50,2.2,3.4,0.0,-3.0899226185138104,1,Done,C5_theta=50_a2=2.2_b2=3.4_z2=0.0_2.log
50,2.2,3.5,0.0,-3.1012403888598783,1,Done,C5_theta=50_a2=2.2_b2=3.5_z2=0.0_2.log
50,2.2,3.6,0.0,-3.0169513631408336,2,Done,C5_theta=50_a2=2.2_b2=3.6_z2=0.0_2.log
50,2.3,3.4,0.0,-3.071283061450231,2,Done,C5_theta=50_a2=2.3_b2=3.4_z2=0.0_2.log
50,2.3,3.6,0.0,-2.904988518886966,2,Done,C5_theta=50_a2=2.3_b2=3.6_z2=0.0_2.log
50,2.4,3.4,0.0,-3.018113511687261,1,Done,C5_theta=50_a2=2.4_b2=3.4_z2=0.0_2.log
50,2.4,3.5,0.0,-2.924684802768752,1,Done,C5_theta=50_a2=2.4_b2=3.5_z2=0.0_2.log
50,2.4,3.6,0.0,-2.7810678440873744,1,Done,C5_theta=50_a2=2.4_b2=3.6_z2=0.0_2.log
45,-2.6,3.4,0.0,-1.7053450213425094,2,Done,C5_theta=45_a2=-2.6_b2=3.4_z2=0.0_2.log
45,-2.6,3.5,0.0,-1.9533821541263023,2,Done,C5_theta=45_a2=-2.6_b2=3.5_z2=0.0_2.log
45,-2.6,3.6,0.0,-2.092238821918727,2,Done,C5_theta=45_a2=-2.6_b2=3.6_z2=0.0_2.log
45,-2.5,3.6,0.0,-1.980048191559036,2,Done,C5_theta=45_a2=-2.5_b2=3.6_z2=0.0_2.log
45,-2.4,3.6,0.0,-1.803038288198877,2,Done,C5_theta=45_a2=-2.4_b2=3.6_z2=0.0_2.log
30,-2.4,3.7,0.0,-2.0819953487080056,2,Done,C5_theta=30_a2=-2.4_b2=3.7_z2=0.0_2.log
30,-2.4,3.8,0.0,-2.159955308539793,2,Done,C5_theta=30_a2=-2.4_b2=3.8_z2=0.0_2.log
30,-2.4,3.9,0.0,-2.158712838732754,1,Done,C5_theta=30_a2=-2.4_b2=3.9_z2=0.0_2.log
30,-2.3,3.9,0.0,-2.1676146956306184,2,Done,C5_theta=30_a2=-2.3_b2=3.9_z2=0.0_2.log
30,-2.2,3.9,0.0,-2.1521610068302834,2,Done,C5_theta=30_a2=-2.2_b2=3.9_z2=0.0_2.log
35,1.9,3.5,0.0,-2.707521162054036,1,Done,C5_theta=35_a2=1.9_b2=3.5_z2=0.0_2.log
35,1.9,3.6,0.0,-2.832462795617176,2,Done,C5_theta=35_a2=1.9_b2=3.6_z2=0.0_2.log
35,1.9,3.7,0.0,-2.856488271005219,1,Done,C5_theta=35_a2=1.9_b2=3.7_z2=0.0_2.log
35,2.0,3.7,0.0,-2.9613897452072706,2,Done,C5_theta=35_a2=2.0_b2=3.7_z2=0.0_2.log
35,2.1,3.7,0.0,-2.990954878841876,1,Done,C5_theta=35_a2=2.1_b2=3.7_z2=0.0_2.log
0,1.8,4.2,0.0,-1.862452190034673,2,Done,C5_theta=0_a2=1.8_b2=4.2_z2=0.0_2.log
0,1.8,4.3,0.0,-1.9452552720758831,2,Done,C5_theta=0_a2=1.8_b2=4.3_z2=0.0_2.log
0,1.8,4.4,0.0,-1.943153113606968,1,Done,C5_theta=0_a2=1.8_b2=4.4_z2=0.0_2.log
40,1.9,3.5,0.0,-3.20536500569142,2,Done,C5_theta=40_a2=1.9_b2=3.5_z2=0.0_2.log
40,1.9,3.6,0.0,-3.2509943953482434,2,Done,C5_theta=40_a2=1.9_b2=3.6_z2=0.0_2.log
40,1.9,3.7,0.0,-3.194155167060672,1,Done,C5_theta=40_a2=1.9_b2=3.7_z2=0.0_2.log
40,2.0,3.7,0.0,-3.1759247465379303,2,Done,C5_theta=40_a2=2.0_b2=3.7_z2=0.0_2.log
