cx,cy,cz,theta1,theta2,a1,z1,a2,b2,z2,E,status,machine_type,file_name,E1,E2,E3,E4
2.7,3.3,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.009642190649174,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.3_cz=8.7.log,-0.1852861327060964,-0.4956764240923803,-0.4797470827470533,-0.8489325511036441
2.7,3.3,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.046761289675487,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.3_cz=8.8.log,-0.1699893214681651,-0.5916534510615747,-0.460532099037664,-0.8245864181080833
2.7,3.4,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.956596260337392,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.4_cz=8.6.log,-0.1924623370869085,-0.4758653058961499,-0.4827911337779369,-0.8054774835763965
2.7,3.4,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.055473638523836,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.4_cz=8.8.log,-0.1624817917763721,-0.6361809331865516,-0.4665116418618709,-0.7902992716990411
2.7,3.5,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.9425952572200915,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.5_cz=8.6.log,-0.1833213989157229,-0.5651003654638771,-0.4731255972001236,-0.7210478956403676
2.7,3.5,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-2.0118585559539497,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.5_cz=8.7.log,-0.1686244871816598,-0.6274899196869228,-0.479681821714621,-0.7360623273707461
2.7,3.5,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-2.024839855293976,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.7_cy=3.5_cz=8.8.log,-0.1553062149323523,-0.6570136376540177,-0.4707730622321833,-0.7417469404754229
2.8,3.3,8.6,0,180,3.8,1.3,1.2,4.4,0.0,-1.776307617285056,Done,2,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.3_cz=8.6.log,-0.1926418049552012,-0.3129248042532708,-0.5016063936345745,-0.7691346144420095
2.8,3.3,8.7,0,180,3.8,1.3,1.2,4.4,0.0,-1.9126655402360484,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.3_cz=8.7.log,-0.1770080208079889,-0.4789250446483493,-0.4828639249317348,-0.7738685498479754
2.8,3.3,8.8,0,180,3.8,1.3,1.2,4.4,0.0,-1.97523079731036,Done,1,C5_theta1=0_theta2=180_a1=3.8_z1=1.3_a2=1.2_b2=4.4_z2=0.0_cx=2.8_cy=3.3_cz=8.8.log,-0.1626217265438754,-0.5844370861013886,-0.4575727618939709,-0.7705992227711249
