theta,a1,z1,a2,b2,z2,E3,E4,machine_type,status,file_name
10,3.8,1.3,-1.2,4.4,0.0,-1.614952833391726,-0.4111062738811597,1,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
10,3.8,1.3,-1.2,4.5,0.0,-1.5687172690959414,-0.3825646090554073,1,Done,C5_theta=10_a1=3.8_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
10,3.9,1.3,-1.4,4.3,0.0,-1.6134392793028385,-0.3378043207485461,2,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.4_b2=4.3_z2=0.0_3.log
10,3.9,1.3,-1.4,4.4,0.0,-1.6268441478605382,-0.3159989757550647,2,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.4_b2=4.4_z2=0.0_3.log
10,3.9,1.3,-1.4,4.5,0.0,-1.599945931753609,-0.295389664825052,2,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.4_b2=4.5_z2=0.0_3.log
10,3.9,1.3,-1.3,4.3,0.0,-1.631942039108253,-0.3694866731093498,1,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
10,3.9,1.3,-1.3,4.5,0.0,-1.5687172690959414,-0.3219929512706585,1,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
10,3.9,1.3,-1.2,4.3,0.0,-1.6292782591917785,-0.4038905363995582,2,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
10,3.9,1.3,-1.2,4.4,0.0,-1.5890580057166517,-0.3767682991892798,2,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
10,3.9,1.3,-1.2,4.5,0.0,-1.5284154393302742,-0.3510504293662961,1,Done,C5_theta=10_a1=3.9_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
10,4.0,1.3,-1.4,4.3,0.0,-1.631942039108253,-0.3088993276178371,2,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.4_b2=4.3_z2=0.0_3.log
10,4.0,1.3,-1.4,4.4,0.0,-1.614952833391726,-0.2894170246290741,1,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.4_b2=4.4_z2=0.0_3.log
10,4.0,1.3,-1.4,4.5,0.0,-1.5687172690959414,-0.2709425027424004,1,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.4_b2=4.5_z2=0.0_3.log
10,4.0,1.3,-1.3,4.3,0.0,-1.6292782591917785,-0.3378043207485461,2,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.3_b2=4.3_z2=0.0_3.log
10,4.0,1.3,-1.3,4.4,0.0,-1.5890580057166517,-0.3159989757550647,2,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.3_b2=4.4_z2=0.0_3.log
10,4.0,1.3,-1.3,4.5,0.0,-1.5284154393302742,-0.295389664825052,2,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.3_b2=4.5_z2=0.0_3.log
10,4.0,1.3,-1.2,4.3,0.0,-1.6083777836029185,-0.3694866731093498,1,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.2_b2=4.3_z2=0.0_3.log
10,4.0,1.3,-1.2,4.4,0.0,-1.551204092480475,-0.3450727690797066,1,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.2_b2=4.4_z2=0.0_3.log
10,4.0,1.3,-1.2,4.5,0.0,-1.4804209644644288,-0.3219929512706585,1,Done,C5_theta=10_a1=4.0_z1=1.3_a2=-1.2_b2=4.5_z2=0.0_3.log
20,4.0,0.0,-1.8,4.1,0.0,-2.1729573157645063,-0.2554743812506785,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.8_b2=4.1_z2=0.0_3.log
20,4.0,0.0,-1.8,4.2,0.0,-2.1462247622257564,-0.2404229263629531,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.8_b2=4.2_z2=0.0_3.log
20,4.0,0.0,-1.8,4.3,0.0,-2.090169921444613,-0.226042907233932,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.8_b2=4.3_z2=0.0_3.log
20,4.0,0.0,-1.7,4.1,0.0,-2.2059241811221,-0.2790129088243702,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.7_b2=4.1_z2=0.0_3.log
20,4.0,0.0,-1.7,4.2,0.0,-2.1459273225045763,-0.2622012884094147,1,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.7_b2=4.2_z2=0.0_3.log
20,4.0,0.0,-1.7,4.3,0.0,-2.066546052476042,-0.2462179812428075,1,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.7_b2=4.3_z2=0.0_3.log
20,4.0,0.0,-1.6,4.1,0.0,-2.2077671779552475,-0.3050100206310162,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.6_b2=4.1_z2=0.0_3.log
20,4.0,0.0,-1.6,4.2,0.0,-2.123298684382462,-0.2859832899121102,2,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.6_b2=4.2_z2=0.0_3.log
20,4.0,0.0,-1.6,4.3,0.0,-2.0270982638612622,-0.268109922617441,1,Done,C5_theta=20_a1=4.0_z1=0.0_a2=-1.6_b2=4.3_z2=0.0_3.log
20,4.1,0.0,-1.8,4.1,0.0,-2.2059241811221,-0.2339131376502337,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.8_b2=4.1_z2=0.0_3.log
20,4.1,0.0,-1.8,4.2,0.0,-2.1459273225045763,-0.2204034748428966,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.8_b2=4.2_z2=0.0_3.log
20,4.1,0.0,-1.8,4.3,0.0,-2.066546052476042,-0.2075972507736878,1,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.8_b2=4.3_z2=0.0_3.log
20,4.1,0.0,-1.7,4.1,0.0,-2.2077671779552475,-0.2554743812506785,1,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.7_b2=4.1_z2=0.0_3.log
20,4.1,0.0,-1.7,4.3,0.0,-2.0270982638612622,-0.226042907233932,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.7_b2=4.3_z2=0.0_3.log
20,4.1,0.0,-1.6,4.1,0.0,-2.1833520188956754,-0.2790129088243702,2,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.6_b2=4.1_z2=0.0_3.log
20,4.1,0.0,-1.6,4.2,0.0,-2.081824038454215,-0.2622012884094147,1,Done,C5_theta=20_a1=4.1_z1=0.0_a2=-1.6_b2=4.2_z2=0.0_3.log
